case_id,sample_id,seed,component,group_name,full_group_id,n_atoms,A_g_signed,A_g_abs,A_tilde_g,P_g,group_rank
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,46,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.0,0.0,0.0,0.0,1
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,46,Cation,Alkyl_Chain,Cation:Alkyl_Chain,5,0.0,0.0,0.0,0.0,2
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,46,Anion,Carboxylate_COO,Anion:Carboxylate_COO,3,0.0,0.0,0.0,0.0,3
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,46,Anion,Alkyl_Chain,Anion:Alkyl_Chain,1,0.0,0.0,0.0,0.0,4
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,46,Refri,CF3,Refri:CF3,4,0.0,0.0,0.0,0.0,5
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,46,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,0.0,0.0,0.0,0.0,6
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,42,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.0,0.0,0.0,0.0,1
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,42,Cation,Alkyl_Chain,Cation:Alkyl_Chain,5,0.0,0.0,0.0,0.0,2
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,42,Anion,PF6_Core,Anion:PF6_Core,7,0.0,0.0,0.0,0.0,3
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,42,Refri,CF3,Refri:CF3,4,0.0,0.0,0.0,0.0,4
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,42,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,0.0,0.0,0.0,0.0,5
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,43,Anion,PF6_Core,Anion:PF6_Core,7,-2.2968533325284923e-10,3.0585501145652394e-10,4.3693573065217706e-11,0.3178487226122696,1
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,43,Cation,Alkyl_Chain,Cation:Alkyl_Chain,5,-1.7097826453260634e-10,2.1920241663475615e-10,4.384048332695123e-11,0.2277981576600177,2
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,43,Refri,CF3,Refri:CF3,4,-1.4136360831917827e-10,1.7791906836706062e-10,4.4479767091765154e-11,0.18489593595190718,3
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,43,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,-5.944379537214939e-11,1.4214223895137046e-10,2.8428447790274092e-11,0.14771616415499933,4
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,43,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,-8.265511365623812e-11,1.1614724113040431e-10,3.8715747043468106e-11,0.12070180590611611,5
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,44,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,-2.9098342970467495e-18,5.3832971133618154e-18,1.076659422672363e-18,5.3832179185779445e-06,1
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,44,Anion,PF6_Core,Anion:PF6_Core,7,-1.3599810867833868e-18,3.157318826408008e-18,4.510455466297154e-19,3.1572723784455785e-06,2
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,44,Cation,Alkyl_Chain,Cation:Alkyl_Chain,5,-1.7938905031958975e-19,2.411036968901155e-18,4.82207393780231e-19,2.4110014996436285e-06,3
